Sample Name,original_plate,well_samples,plate_destination,well_destination,Original Sample Conc.,DNA Volume (uL),Diluent Volume (uL)
S1,dna_plate_1,A1,1,E1,39.4,15.2,4.8
S2,dna_plate_1,B1,1,F1,10.4,0,0
S3,dna_plate_1,C1,1,G1,40.4,14.9,5.1
S4,dna_plate_1,D1,1,H1,48.3,12.4,7.6
S5,dna_plate_1,A2,1,E2,62.7,9.6,10.4
S6,dna_plate_1,B2,1,F2,52.1,11.5,8.5
S7,dna_plate_1,C2,1,G2,24.5,0,0
S8,dna_plate_1,D2,1,H2,21.7,0,0
S9,dna_plate_1,A3,1,E3,19.7,0,0
S10,dna_plate_1,B3,1,F3,24.0,0,0
S11,dna_plate_1,C3,1,G3,38.6,15.5,4.5
S12,dna_plate_1,D3,1,H3,12.2,0,0
S13,dna_plate_1,A4,1,E4,59.4,10.1,9.9
S14,dna_plate_1,B4,1,F4,153.0,3.9,16.1
S15,dna_plate_1,C4,1,G4,42.6,14.1,5.9
S16,dna_plate_1,D4,1,H4,94.8,6.3,13.7
S17,dna_plate_1,A5,1,E5,60.3,10.0,10.0
S18,dna_plate_1,B5,1,F5,33.7,17.8,2.2
S19,dna_plate_1,C5,1,G5,62.9,9.5,10.5
S20,dna_plate_1,D5,1,H5,53.5,11.2,8.8
S21,dna_plate_1,A6,1,E6,74.1,8.1,11.9
S22,dna_plate_1,B6,1,F6,63.3,9.5,10.5
S23,dna_plate_1,C6,1,G6,32.3,18.6,1.4
S24,dna_plate_1,D6,1,H6,52.5,11.4,8.6
S25,dna_plate_2,A1,1,E7,46.6,12.9,7.1
S26,dna_plate_2,B1,1,F7,49.4,12.1,7.9
S27,dna_plate_2,C1,1,G7,35.9,16.7,3.3
S28,dna_plate_2,D1,1,H7,63.8,9.4,10.6
S29,dna_plate_2,A2,1,E8,78.5,7.6,12.4
S30,dna_plate_2,B2,1,F8,81.2,7.4,12.6
S31,dna_plate_2,C2,1,G8,69.3,8.7,11.3
S32,dna_plate_2,D2,1,H8,69.4,8.6,11.4
S33,dna_plate_2,A3,1,E9,84.1,7.1,12.9
S34,dna_plate_2,B3,1,F9,100.0,6.0,14.0
S35,dna_plate_2,C3,1,G9,45.1,13.3,6.7
S36,dna_plate_2,D3,1,H9,40.1,15.0,5.0
S37,dna_plate_2,A4,1,E10,76.6,7.8,12.2
S38,dna_plate_2,B4,1,F10,7.2,0,0
S39,dna_plate_2,C4,1,G10,10.3,0,0
S40,dna_plate_2,D4,1,H10,23.6,0,0
S41,dna_plate_2,A5,1,E11,27.1,0,0
S42,dna_plate_2,B5,1,F11,57.6,10.4,9.6
S43,dna_plate_2,C5,1,G11,35.3,17.0,3.0
S44,dna_plate_2,D5,1,H11,61.4,9.8,10.2
S45,dna_plate_2,A6,1,E12,40.2,14.9,5.1
S46,dna_plate_2,B6,1,F12,72.8,8.2,11.8
S47,dna_plate_2,C6,1,G12,6.4,0,0
S48,dna_plate_2,D6,1,H12,31.3,19.2,0.8
S49,dna_plate_3,A1,1,A1,59.9,10.0,10.0
S50,dna_plate_3,B1,1,B1,122.0,4.9,15.1
S51,dna_plate_3,C1,1,C1,153.0,3.9,16.1
S52,dna_plate_3,D1,1,D1,98.5,6.1,13.9
S53,dna_plate_3,A2,1,A2,77.4,7.8,12.2
S54,dna_plate_3,B2,1,B2,75.4,8.0,12.0
S55,dna_plate_3,C2,1,C2,75.5,7.9,12.1
S56,dna_plate_3,D2,1,D2,91.9,6.5,13.5
S57,dna_plate_3,A3,1,A3,67.8,8.8,11.2
S58,dna_plate_3,B3,1,B3,46.4,12.9,7.1
S59,dna_plate_3,C3,1,C3,107.0,5.6,14.4
S60,dna_plate_3,D3,1,D3,64.3,9.3,10.7
S61,dna_plate_3,A4,1,A4,16.6,0,0
S62,dna_plate_3,B4,1,B4,38.6,15.5,4.5
S63,dna_plate_3,C4,1,C4,67.2,8.9,11.1
S64,dna_plate_3,D4,1,D4,180.0,3.3,16.7
S65,dna_plate_3,A5,1,A5,25.3,0,0
S66,dna_plate_3,B5,1,B5,26.1,0,0
S67,dna_plate_3,C5,1,C5,24.5,0,0
S68,dna_plate_3,D5,1,D5,56.0,10.7,9.3
S69,dna_plate_3,A6,1,A6,68.0,8.8,11.2
S70,dna_plate_3,B6,1,B6,141.0,4.3,15.7
S71,dna_plate_3,C6,1,C6,10.1,0,0
S72,dna_plate_3,D6,1,D6,9.0,0,0
S73,dna_plate_4,A1,1,A7,18.5,0,0
S74,dna_plate_4,B1,1,B7,13.7,0,0
S75,dna_plate_4,C1,1,C7,21.5,0,0
S76,dna_plate_4,D1,1,D7,93.0,6.5,13.5
S77,dna_plate_4,A2,1,A8,76.0,7.9,12.1
S78,dna_plate_4,B2,1,B8,57.8,10.4,9.6
S79,dna_plate_4,C2,1,C8,34.0,17.6,2.4
S80,dna_plate_4,D2,1,D8,62.0,9.7,10.3
S81,dna_plate_4,A3,1,A9,40.0,15.0,5.0
S82,dna_plate_4,B3,1,B9,23.5,0,0
S83,dna_plate_4,C3,1,C9,11.0,0,0
S84,dna_plate_4,D3,1,D9,5.0,0,0
S85,dna_plate_4,A4,1,A10,3.0,0,0
S86,dna_plate_4,B4,1,B10,15.6,0,0
S87,dna_plate_4,C4,1,C10,6.8,0,0
S88,dna_plate_4,D4,1,D10,42.0,14.3,5.7
S89,dna_plate_4,A5,1,A11,3.5,0,0
S90,dna_plate_4,B5,1,B11,32.6,18.4,1.6
S91,dna_plate_4,C5,1,C11,13.0,0,0
S92,dna_plate_4,D5,1,D11,85.0,7.1,12.9
S93,dna_plate_4,A6,1,A12,23.0,0,0
S94,dna_plate_4,B6,1,B12,16.0,0,0
S95,dna_plate_4,C6,1,C12,41.9,14.3,5.7
S96,dna_plate_4,D6,1,D12,2.7,0,0